Input_SMILES,Predicted_SMILES,Tanimoto_Score,Input_Complexity,Pred_Complexity,Complexity_Ratio
Cc1ccc2c(c1)NC(SCC(=O)O)=NS2(=O)=O,CCC1CCCN1CCCCON,0.0462,27.5,24.0,0.8727272727272727
CC(=O)Oc1ccc(CC(N)C(=O)O)cc1,CC(O)c1ccc(C(C)C(=O)N)cc1,0.2143,26.5,23.0,0.8679245283018868
NC(=O)c1ccc(I)cc1,CC(=O)c1ccc(C)cc1,0.2963,16.0,16.0,1.0
CC(=O)c1ccc(C(=O)O)cc1,CC(O)c1ccc(C(=O)N)cc1,0.3,19.5,19.5,1.0
CC(=O)Oc1cccc(C(=O)O)c1,CC(O)c1ccc(C(=O)N)cc1,0.2,20.5,19.5,0.9512195121951219
CN(C)C(=O)OCc1ccc(I)cc1,CC(C)C(=O)c1ccc(C)cc1,0.175,21.5,19.5,0.9069767441860465
CNC(=O)Oc1cccc(I)c1,CC(=O)c1ccc(C)cc1,0.1842,18.0,16.0,0.8888888888888888
COC(=O)Nc1cccc(C(C)=O)c1,CC(=O)c1ccc(C(=C)O)cc1,0.3143,21.5,19.5,0.9069767441860465
NC(=O)Nc1cccc(NC(N)=O)c1,CC(=O)c1ccc(C(=C)O)cc1,0.1818,21.5,19.5,0.9069767441860465
CNC(=O)N(C)C(=O)Nc1cc(F)ccc1F,CC(=O)c1ccc(C)C(=O)N(O)cc1,0.1346,23.0,17.5,0.7608695652173914
CN(C)C(=O)OCc1ccc(Br)cc1,CC(C)C(=O)c1ccc(C)cc1,0.175,21.5,19.5,0.9069767441860465
CC(=O)OC(OC(C)=O)c1ccccc1,CC(O)c1ccc(C(=C)O)cc1,0.2286,24.0,19.5,0.8125
CC(=O)c1ccc(Br)cc1O,CC(O)c1ccc(Cl)cc1,0.1389,17.0,16.0,0.9411764705882353
CC(=O)Nc1cc(OCC(=O)O)ccc1Cl,CC(O)c1ccc(C(O)N)cc1,0.1064,26.5,19.5,0.7358490566037735
NC(=S)NNC(=O)c1ccc2c(c1)OCO2,CC(=O)C(=O)c1ccc(Cl)cc1,0.1778,24.0,19.5,0.8125
CC(=O)NNC(=O)Nc1ccc(Cl)cc1,CC(O)C(=O)c1ccc(Cl)cc1,0.3333,21.0,19.5,0.9285714285714286
CC(=O)Nc1ccc(cc1)N(=O)=O,CC(O)c1ccc(cc1)C(O)O,0.1389,20.5,19.5,0.9512195121951219
CNC(=O)N(C)C(=O)Nc1cc(I)ccc1F,CC(=O)c1ccc(C)C(=O)N(Cl)cc1,0.1273,23.0,17.5,0.7608695652173914
CN(C)C(=O)OCc1ccc(I)cc1,CC(C)C(=O)c1ccc(C)cc1,0.175,21.5,19.5,0.9069767441860465
CN(C)C(=O)Oc1cccc(Cl)c1,CC(C)C(=O)c1ccc(C)cc1,0.1707,19.0,19.5,1.0263157894736843
CC(=O)C=Cc1ccc(C#N)cc1,CC(O)c1ccc(C(Cl)N)cc1,0.122,20.5,19.5,0.9512195121951219
CN(C)C(=O)OCc1ccc(C(F)(F)F)cc1,CC(C)C(=O)c1ccc(C(C)(F)F)cc1,0.2791,24.5,24.0,0.9795918367346939
COC(=O)c1ccc(Br)o1,CC(=O)C(cc1)cc1,0.1471,16.0,11.5,0.71875
NC(=S)c1ccc(Cl)cc1,CC(=O)C(cc1)cc1,0.0645,16.0,11.5,0.71875
CN(C)C(=O)Oc1ccc(Br)cc1,CC(C)C(=O)c1ccc(C)cc1,0.1892,19.0,19.5,1.0263157894736843
CC(=O)c1cccc(Br)c1,CC(O)C(cc1)cc1,0.0882,16.0,11.5,0.71875
CN(C)C(=O)Nc1cccc(F)c1,CC(C)C(=O)C(cc1)cc1,0.122,19.0,15.0,0.7894736842105263
O=C(O)c1ccc(I)cc1,CC=C(O)c1ccc(Cl)cc1,0.2414,16.0,17.0,1.0625
O=C(O)COc1ccc(Cl)cc1,CC=C(O)c1ccc(Cl)cc1,0.3125,21.0,17.0,0.8095238095238095
O=C(O)c1cccc(Cl)n1,CC=C(O)c1ccc(Cl)cc1,0.2059,16.0,17.0,1.0625
CCN1C(=O)C(=O)c2c(Cl)cccc2C1=O,CC(=O)C(O)c1ccc(C)cc1O,0.098,24.0,20.5,0.8541666666666666
NC(=O)c1cccc(Br)c1,CC(=O)C(cc1)cc1,0.1212,16.0,11.5,0.71875
O=C(O)Cc1cccc(I)c1,CC=C(O)c1ccc(O)cc1,0.1351,18.5,17.0,0.918918918918919
NC(=O)c1ccc(I)cc1,CC(=O)C(cc1)cc1,0.1379,16.0,11.5,0.71875
CN(C)C(=O)OCc1ccc(Cl)cc1,CC(C)C(=O)c1ccc(C)cc1,0.175,21.5,19.5,0.9069767441860465
O=C(O)COc1cccc(F)c1,CC=C(O)c1ccc(Cl)cc1,0.122,21.0,17.0,0.8095238095238095
CC(=O)Nc1ccc(cc1)N(=O)=O,CC(O)c1ccc(cc1)C(O)O,0.1389,20.5,19.5,0.9512195121951219
O=C(O)c1cccc(I)c1,CC=C(O)c1ccc(Cl)cc1,0.1765,16.0,17.0,1.0625
CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1,CC(C)C(=O)C(=O)C(cc1)cc1,0.1136,24.5,18.5,0.7551020408163265
O=C(O)c1cccc(F)c1,CC=C(O)c1ccc(Cl)cc1,0.1765,16.0,17.0,1.0625
O=C(O)COc1cccc(Br)c1,CC=C(O)c1ccc(Cl)cc1,0.122,21.0,17.0,0.8095238095238095
O=C(O)c1c(Br)cccc1Br,CC=C(O)c1ccc(O)cc1,0.1613,17.0,17.0,1.0
CC(=O)c1ccc(Cl)cc1O,CC(O)N(cc1)cc1,0.0857,17.0,14.0,0.8235294117647058
CON(C)C(=O)Nc1ccc(F)cc1,CC(C)C(=O)N(cc1)cc1,0.122,21.5,16.0,0.7441860465116279
NC(=O)c1ccc(O)cc1,CC(=O)C(cc1)cc1,0.1429,16.0,11.5,0.71875
O=C(O)c1c(F)cccc1Cl,CC=C(O)c1ccc(O)cc1,0.1389,17.0,17.0,1.0
O=C(O)c1cccc(Cl)c1,CC=C(O)c1ccc(Cl)cc1,0.2903,16.0,17.0,1.0625
O=C(O)c1cc(I)ccc1O,CC=C(O)c1ccc(Cl)cc1,0.1389,17.0,17.0,1.0
NC(=O)c1ccc(N)cc1,CC(=O)C(cc1)cc1,0.1429,16.0,11.5,0.71875
O=C(O)COc1ccc(Br)cc1,CC=C(O)c1ccc(Cl)cc1,0.1351,21.0,17.0,0.8095238095238095
O=C(O)Cc1cccc(Cl)c1,CC=C(O)c1ccc(Cl)cc1,0.2286,18.5,17.0,0.918918918918919
O=C(O)COc1ccc(I)cc1,CC=C(O)c1ccc(Cl)cc1,0.1351,21.0,17.0,0.8095238095238095
O=C(O)COc1cccc(Cl)c1,CC=C(O)c1ccc(Cl)cc1,0.2105,21.0,17.0,0.8095238095238095
CN(C)C(=O)Oc1ccc(Cl)cc1,CC(C)C(=O)N(cc1)cc1,0.1351,19.0,16.0,0.8421052631578947
O=C(O)Cc1ccc(I)cc1,CC=C(O)c1ccc(O)cc1,0.1515,18.5,17.0,0.918918918918919
O=C(O)c1ccc(CCl)cc1,CC=C(O)c1ccc(Cl)cc1,0.2581,18.5,17.0,0.918918918918919
O=C(O)Cc1cccc(F)c1,CC=C(O)c1ccc(Cl)cc1,0.1316,18.5,17.0,0.918918918918919
O=C(O)c1cc(Br)ccc1O,CC=C(O)c1ccc(O)cc1,0.1765,17.0,17.0,1.0
O=C(O)CCc1ccc(O)cc1,CC=C(O)c1ccc(Cl)cc1,0.1429,21.0,17.0,0.8095238095238095
NC(=S)c1ccc(Cl)cc1,CC(=O)N(cc1)cc1,0.0645,16.0,12.5,0.78125
COC(=O)c1ccc(Br)o1,CC(=O)C(cc1)cc1,0.1471,16.0,11.5,0.71875
O=N(=O)c1ccc(cc1)N(=O)=O,CC=C(O)c1ccc(cc1)C(O)O,0.0968,19.5,20.5,1.0512820512820513
O=C(O)COc1ccc(Cl)cc1,CC=C(O)c1ccc(Cl)cc1,0.3125,21.0,17.0,0.8095238095238095
CON(C)C(=O)Nc1ccc(N)cc1,CC(C)C(=O)N(cc1)cc1,0.122,21.5,16.0,0.7441860465116279
NC(=O)c1cccc(N)c1,CC(=O)C(cc1)cc1,0.125,16.0,11.5,0.71875
O=C(O)c1cccc(Br)c1,CC=C(O)c1ccc(Cl)cc1,0.1765,16.0,17.0,1.0625
CC(=O)c1cccc(Cl)c1,CC(O)N(cc1)cc1,0.1212,16.0,14.0,0.875
O=C(O)c1ccc(Cl)cc1,CC=C(O)c1ccc(Cl)cc1,0.5,16.0,17.0,1.0625
CC(=O)c1ccc(Cl)cc1,CC(O)C(cc1)cc1,0.1,16.0,11.5,0.71875
