Input_SMILES,Predicted_SMILES,Tanimoto_Score,Input_Complexity,Pred_Complexity,Complexity_Ratio
COc1cc(CN2CCN(CC2)c3ccc(Cl)cc3)c(OCCF)cc1OC,CCCCCCc3ccccc3CCc3ccccc3CCc3ccccc3,0.0952,51.0,58.0,1.1372549019607843
CCC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C,n1nnc2ccccc21CCCOc1ccc1CNC,0.0698,36.0,36.5,1.0138888888888888
O=C(\C=C\C=C\c1ccc2OCOc2c1)N3CCCCC3,c1ccccc1Oc1ccccc1OC,0.0536,34.0,28.5,0.8382352941176471
COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,CCCCc3ccccc3CCc3ccccc3,0.0984,49.5,36.0,0.7272727272727273
Cc1cc(c(cc1Cl)S(=O)(=O)CC(=O)O)S(=O)(=O)N,CCCCCCc3ccccc3O,0.1176,29.5,25.0,0.847457627118644
CCCCCCNC(=O)C=Cc1ccc(O)c(O)c1,CCCCCc4c5CCCCc5nc6ccccc46,0.1587,34.0,36.0,1.0588235294117647
Oc1ccccc1c2oc(\C=C\3/SC(=O)NC3=O)cc2,CCCCc1ccc2CCNC21CNC,0.0725,34.0,26.5,0.7794117647058824
CC(=O)Oc1ccc(NC(=O)C(Cl)Cl)cc1,CC(O)c1ccc(C(=O)N(C)C)cc1,0.1778,25.0,21.5,0.86
NC(=O)c1cccc(Cl)c1,CC(=O)c1ccc(C)cc1,0.2188,16.0,16.0,1.0
NC(=S)NNC(=O)c1ccc2c(c1)OCO2,CC(=O)C(=O)c1ccc(C)cc1,0.1818,24.0,19.5,0.8125
CNC(=O)Oc1ccc(Br)cc1,CC(=O)c1ccc(C)cc1,0.2059,18.0,16.0,0.8888888888888888
O=C(O)CNC(=O)c1cccc(I)c1,CC=C(C)C(=O)c1ccc(C)cc1,0.186,23.0,20.5,0.8913043478260869
O=C1CCC(=O)N1c1c(Cl)cccc1Cl,CC=C(O)c1ccc(C)cc1,0.0811,23.0,17.0,0.7391304347826086
CC(=O)Oc1ccc(NC(=O)C(Cl)Cl)cc1,CC(O)c1ccc(C(=O)N(C)C)cc1,0.1778,25.0,21.5,0.86
O=C(O)c1ccc(I)cc1,CC=C(C)C(cc1)cc1,0.0645,16.0,12.5,0.78125
NC(=S)NNC(=O)c1ccc2c(c1)OCO2,CC(=O)C(=O)c1ccc(C)cc1,0.1818,24.0,19.5,0.8125
O=C1CCC(=O)N1c1cccc(I)c1,CC=C(O)c1ccc(C)cc1,0.075,22.0,17.0,0.7727272727272727
CN(C)C(=O)OCc1ccc(I)cc1,CC(C)C(=O)c1ccc(C)cc1,0.175,21.5,19.5,0.9069767441860465
CC(=O)c1ccc(OCC(=O)O)cc1,CC(O)c1ccc(C(O)N)cc1,0.1316,24.5,19.5,0.7959183673469388
NC(=O)OCc1ccc(Cl)cc1,CC(=O)c1ccc(C)cc1,0.1714,19.5,16.0,0.8205128205128205
