Input_SMILES,Predicted_SMILES,Input_Groups,Predicted_Groups
COc1cc(CN2CCN(CC2)c3ccc(Cl)cc3)c(OCCF)cc1OC,CCCCCCc3ccccc3CCc3ccccc3CCc3ccccc3,"NC,c1ccccc1",c1ccccc1
CCC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C,n1nnc2ccccc21CCCOc1ccc1CNC,"C=C,C=C(C=O)","NC,C=C"
O=C(\C=C\C=C\c1ccc2OCOc2c1)N3CCCCC3,c1ccccc1Oc1ccccc1OC,"NC,C=C,C=C(C=O),c1ccccc1",c1ccccc1
COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,CCCCc3ccccc3CCc3ccccc3,"NC,c1ccccc1",c1ccccc1
Cc1cc(c(cc1Cl)S(=O)(=O)CC(=O)O)S(=O)(=O)N,CCCCCCc3ccccc3O,"CCS,c1ccccc1",c1ccccc1
CCCCCCNC(=O)C=Cc1ccc(O)c(O)c1,CCCCCc4c5CCCCc5nc6ccccc46,"NC,C=C,C=C(C=O),c1ccccc1",c1ccccc1
Oc1ccccc1c2oc(\C=C\3/SC(=O)NC3=O)cc2,CCCCc1ccc2CCNC21CNC,"NC,C=C,CCS,C=C(C=O),c1ccccc1","NC,C=C"
CC(=O)Oc1ccc(NC(=O)C(Cl)Cl)cc1,CC(O)c1ccc(C(=O)N(C)C)cc1,"NC,c1ccccc1","NC,c1ccccc1"
NC(=O)c1cccc(Cl)c1,CC(=O)c1ccc(C)cc1,"NC,c1ccccc1",c1ccccc1
NC(=S)NNC(=O)c1ccc2c(c1)OCO2,CC(=O)C(=O)c1ccc(C)cc1,"NC,c1ccccc1",c1ccccc1
CNC(=O)Oc1ccc(Br)cc1,CC(=O)c1ccc(C)cc1,"NC,c1ccccc1",c1ccccc1
O=C(O)CNC(=O)c1cccc(I)c1,CC=C(C)C(=O)c1ccc(C)cc1,"NC,c1ccccc1","C=C,C=C(C=O),c1ccccc1"
O=C1CCC(=O)N1c1c(Cl)cccc1Cl,CC=C(O)c1ccc(C)cc1,"NC,c1ccccc1","C=C,c1ccccc1"
CC(=O)Oc1ccc(NC(=O)C(Cl)Cl)cc1,CC(O)c1ccc(C(=O)N(C)C)cc1,"NC,c1ccccc1","NC,c1ccccc1"
O=C(O)c1ccc(I)cc1,CC=C(C)C(cc1)cc1,c1ccccc1,C=C
NC(=S)NNC(=O)c1ccc2c(c1)OCO2,CC(=O)C(=O)c1ccc(C)cc1,"NC,c1ccccc1",c1ccccc1
O=C1CCC(=O)N1c1cccc(I)c1,CC=C(O)c1ccc(C)cc1,"NC,c1ccccc1","C=C,c1ccccc1"
CN(C)C(=O)OCc1ccc(I)cc1,CC(C)C(=O)c1ccc(C)cc1,"NC,c1ccccc1",c1ccccc1
CC(=O)c1ccc(OCC(=O)O)cc1,CC(O)c1ccc(C(O)N)cc1,c1ccccc1,"NC,c1ccccc1"
NC(=O)OCc1ccc(Cl)cc1,CC(=O)c1ccc(C)cc1,"NC,c1ccccc1",c1ccccc1
O=C(O)CNC(=O)c1cccc(I)c1,CC=C(C)C(=O)c1ccc(C)cc1,"NC,c1ccccc1","C=C,C=C(C=O),c1ccccc1"
NC(=O)Nc1cccc(Br)c1,CC(=O)c1ccc(C)cc1,"NC,c1ccccc1",c1ccccc1
NNC(=O)c1ccc2c(c1)OCO2,CC(=O)c1ccc(C)cc1,"NC,c1ccccc1",c1ccccc1
O=C1CCC(=O)N1c1cccc(Cl)c1,CC=C(O)c1ccc(Cl)cc1,"NC,c1ccccc1","C=C,c1ccccc1"
COC(=O)Nc1cccc(Cl)c1,CC(=O)c1ccc(C)cc1,"NC,c1ccccc1",c1ccccc1
Nc1nc(=O)n(C2CCC(CO)O2)cc1I,CC(O)c1ccc(C(C)C)cc1,Nc,c1ccccc1
CN(C)C(=O)C12CC3CC(CC(C3)C1)C2,CC(C)C(=O)c1ccc(C(=C)C)cc1,NC,"C=C,c1ccccc1"
CC(=O)NNC(=O)Nc1ccc(Cl)cc1,CC(O)C(=O)c1ccc(Cl)cc1,"NC,c1ccccc1",c1ccccc1
CC(=O)Oc1ccc(NC(=O)C(Cl)Cl)cc1,CC(O)c1ccc(C(=O)N(C)C)cc1,"NC,c1ccccc1","NC,c1ccccc1"
CC(=O)Nc1cccc(OCC(=O)O)c1,CC(O)c1ccc(C(=O)N)cc1,"NC,c1ccccc1","NC,c1ccccc1"
CC(=O)c1cccc(OCC(=O)O)c1,CC(O)c1ccc(C(=O)N)cc1,c1ccccc1,"NC,c1ccccc1"
CC(=O)Oc1ccc(CC(N)C(=O)O)cc1,CC(O)c1ccc(C(C)C(O)N)cc1,"NC,c1ccccc1","NC,c1ccccc1"
O=C1CCC(=O)N1c1ccc(Br)cc1,CC=C(O)c1ccc(Cl)cc1,"NC,c1ccccc1","C=C,c1ccccc1"
CN(C)C(=O)OCc1ccc(Br)cc1,CC(C)C(=O)c1ccc(C)cc1,"NC,c1ccccc1",c1ccccc1
CC(=O)c1ccc(OCC(=O)O)cc1,CC(O)c1ccc(NC(=O)N)cc1,c1ccccc1,"NC,c1ccccc1"
O=C(O)CNC(=O)c1ccc(I)cc1,CC=C(C)C(=O)c1ccc(Cl)cc1,"NC,c1ccccc1","C=C,C=C(C=O),c1ccccc1"
CC(=O)Oc1c(Cl)cccc1Cl,CC(O)c1ccc(C)cc1,c1ccccc1,c1ccccc1
CN(C)C(=O)Nc1ccc(Br)cc1,CC(C)C(=O)c1ccc(Cl)cc1,"NC,c1ccccc1",c1ccccc1
CNC(=O)Oc1ccc(C)cc1,CC(=O)c1ccc(cc1)C,"NC,c1ccccc1",c1ccccc1
CC(=O)c1cccc(OCC(=O)O)c1,CC(O)c1ccc(C(=O)N)cc1,c1ccccc1,"NC,c1ccccc1"
CC(=O)Oc1ccc(CC(N)C(=O)O)cc1,CC(O)c1ccc(C(=C)C(O)N)cc1,"NC,c1ccccc1","NC,C=C,c1ccccc1"
O=C1CCC(=O)N1c1ccc(Br)cc1,CC=C(O)c1ccc(Cl)cc1,"NC,c1ccccc1","C=C,c1ccccc1"
NC(=O)Nc1cccc(OCC(=O)O)c1,CC(=O)c1ccc(C(=O)N)cc1,"NC,c1ccccc1","NC,c1ccccc1"
CN(C)C(=O)Oc1ccc(Br)cc1,CC(C)C(=O)c1ccc(Cl)cc1,"NC,c1ccccc1",c1ccccc1
O=C1CCC(=O)N1c1ccc(Cl)cc1,CC=C(O)c1ccc(Cl)cc1,"NC,c1ccccc1","C=C,c1ccccc1"
CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1,CC(C)C(=O)C(=O)C(cc1)cc1,"NC,c1ccccc1",C=C
NC(=S)NNC(=O)c1ccc2c(c1)OCO2,CC(=O)C(=O)c1ccc(Cl)cc1,"NC,c1ccccc1",c1ccccc1
