input_smiles,temperature,generated_smiles,morgan_similarity,maccs_similarity,topo_similarity
CC(NC(=O)c1cnn2ccc(N3CC(O)CC3c3cccc(F)c3)nc12)C(F)(F)F,0.2,CC(NC(=O)c1cc(OC)c(s1)c2ccc(OC)cc2)C(F)(F)F,0.2441860465116279,0.4084507042253521,0.37922077922077924
c1ccc(SCc2ccccc2CCCN2CCOCC2)cc1,0.2,c1ccc(SCCCCN=Cc2ccccc2)cc1,0.2549019607843137,0.48717948717948717,0.2414486921529175
c1ccc(SCc2ccccc2CCCN2CCOCC2)cc1,0.4,c1ccc(OCCNS)cc1,0.14,0.33962264150943394,0.07083333333333333
O=S(=O)(NC(=S)N1CCCCC1)c1cnccc1NC1CCCCCCC1,1.0,O=S(=O)(NC(=O)Cc1ccccc1)c1cc(Br)ccc1O,0.17142857142857143,0.47619047619047616,0.2631578947368421
CCC(Cc1cc(C)c(O)c(C)c1)NS(=O)(=O)c2c(C)cc(C)cc2C,0.2,CCC(C)c1nc(O)c(C)c(O)c(C)c(OC)c1C(=O)OC(C)C,0.16417910447761194,0.26666666666666666,0.232409381663113
Cc1ccc(CNC(=O)c2cnc3nc(C)ccc3c2O)cc1,0.2,Cc1ccc(NC(=O)N2CCC(C)CC2)cc1,0.19672131147540983,0.3333333333333333,0.15201654601861428
Cc1ccc(CNC(=O)c2cnc3nc(C)ccc3c2O)cc1,1.0,Cc1ccc(NC(=O)N2CCC(C)CC2)cc1,0.19672131147540983,0.3333333333333333,0.15201654601861428
CC(=O)NCCC(=O)NCc1c(O)c(=O)cc(C)n1C,0.4,CC(=O)OCC(=O)c1cc(O)cc(O)c1CC(=O)C,0.16129032258064516,0.4375,0.2241860465116279
CC(=O)NCCC(=O)NCc1c(O)c(=O)cc(C)n1C,1.0,CC(=O)OCCCCC(=O)COC(=O)c1cc(Br)ccc1C#C,0.13513513513513514,0.373134328358209,0.16904083570750236
CCC(C)(C)C(=O)Nc1cc2CCCc2c(c1)S(=O)(=O)N3CCOCC3,0.2,CCC(C)(C)C(=O)C1=Nc2cc(Cl)ccc2C1=O,0.22857142857142856,0.3103448275862069,0.3326007326007326
CCC(C)(C)C(=O)Nc1cc2CCCc2c(c1)S(=O)(=O)N3CCOCC3,0.6,CCC(C)(C)C(=O)c1cccc(c1)c2ccccc2OC(=O)c3ccccc3,0.2,0.24096385542168675,0.28648233486943164
CCC(C)(C)C(=O)Nc1cc2CCCc2c(c1)S(=O)(=O)N3CCOCC3,1.0,CCC(C)(C)C(=O)Nc1cccc(-c3ncn(c3)c3ccccc3)c1,0.3013698630136986,0.4074074074074074,0.32248062015503876
COc1ccc(nn1)c2ccc3c(CN4CCC3(CC4)c5ccc(Cl)c(Cl)c5)c2,0.8,COc1ccc(Nc2ncc(OC)cc2c4cc(OC)c(OC5CCCC5)cc4)cc1,0.15476190476190477,0.417910447761194,0.3408450704225352
CC(C)(C)NCC(O)COc1nsnc1N1CCOCC1,1.2,CC(C)(C)SCC(=O)OC1c2ccc(Cl)cc2O1,0.10526315789473684,0.29213483146067415,0.17334669338677355
O=C(NC1CCNCC1F)c1cnn2ccc(N3CCCC3c3cc(F)ccc3F)nc12,0.4,O=C(CCNC(=O)c1ccc(cc1)c2ccccc2)CC(F)(F)F,0.0989010989010989,0.417910447761194,0.21240199572344975
Clc1ccc(c(Cl)c1)c2cc(Cl)c(Cl)c(Cl)c2Cl ,0.8,Clc1ccc(Cl)c(Cl)c1c1cccc(Cl)c(Cl)c(Cl)c1OC,0.14583333333333334,0.4166666666666667,0.16666666666666666
Nn1c(Cc2ccccc2)nnc1SCC(=O)Nc3nc4ccc(cc4s3)S(=O)(=O)N,0.8,N#Cc1cccc(c1)S(=O)(=O)NCCOc2ccc(cc2)S(=O)(=O)c2ccccc2,0.1724137931034483,0.4823529411764706,0.2761830876648565
CN(C)CCN(C)CCN(C)CCN(C)C,0.6,CN(C)C1(C(C)C)C(N)C1,0.11538461538461539,0.4166666666666667,0.08695652173913043
CC(C)COC(=O)n1cnc(CC(NC(=O)C2CCC(=O)N2)C(=O)N2CCCC2C(N)=O)c1,0.4,CC(C)OC(=O)c1c(OC)c2nc(NC(=O)C(=O)N3C(=O)C=C(Oc23)c4ccccc4)cn1,0.12280701754385964,0.4444444444444444,0.4096045197740113
NC(N)=S,0.2,NC(N)=NN=O,0.2,0.3448275862068966,0.12121212121212122
NC(N)=S,0.4,NC(N)=Nc1ccccc1,0.15,0.45454545454545453,0.03773584905660377
NC(N)=S,0.6,NC(N)=NN,0.2727272727272727,0.43478260869565216,0.16666666666666666
NC(N)=S,0.8,NC#N,0.09090909090909091,0.4,0.14285714285714285
NC(N)=S,1.0,COC(N)=NCBr,0.14285714285714285,0.25,0.034482758620689655
COc1ccc(cc1Cc2cnc(N)nc2N)C#Cc3cccc(c3)C(=O)O,0.4,COc1ccc(cc1C)C2(C)C(=O)N(c3ccccc3)C2=O,0.19444444444444445,0.41935483870967744,0.3004524886877828
COc1ccc(cc1Cc2cnc(N)nc2N)C#Cc3cccc(c3)C(=O)O,1.0,COc1ccc(cc1OC)N(CC(C)C2)N(c4cccs4)O2,0.14634146341463414,0.3684210526315789,0.2613981762917933
Cc1ccc(C)n1Nc1ccc(N(C)CC(C)O)nn1,0.6,Cc1ccc(C)c(N=CN(C)C)n1,0.16666666666666666,0.49056603773584906,0.18414634146341463
Cc1ccc(C)n1Nc1ccc(N(C)CC(C)O)nn1,0.8,Cc1ccc(C)c(NCc2ccc(C)cc(C)cc2O)c1O,0.14516129032258066,0.35384615384615387,0.23663366336633662
ONC(=O)CNS(=O)(=O)c1ccc(OCc2cccc(Br)c2)cc1,0.6,ONC(=O)CCCCCCC(=O)CCCCCCC(=O)c1ccc(Br)cc1,0.23333333333333334,0.47368421052631576,0.20760233918128654
CCOCCOC(=O)C(C#N)=C(CC)Nc1ccc(N)cc1,0.2,CSCC(=O)C(C#N)=C(c1ccccc1)N(C)c1ccccc1,0.208955223880597,0.46153846153846156,0.27902439024390246
CCOCCOC(=O)C(C#N)=C(CC)Nc1ccc(N)cc1,0.6,Nc1ccccc1C(=O)C(C#N)=C(C#N)c1ccc(Cl)cc1,0.2153846153846154,0.34615384615384615,0.23932472691161866
CCCC[C@H](NC(=O)O[C@H](Cn1ccc(n1)c2cccnc2)C(C)(C)C)C(=O)CNS(=O)(=O)c3ccccn3,0.2,CCCC[C@H](NC(=O)O[C@H](Cc1ccccc1)NC(c2ccc(cc2)C(F)(F)F)C(C)(C)C)C,0.25742574257425743,0.4606741573033708,0.30886627906976744
CCCC[C@H](NC(=O)O[C@H](Cn1ccc(n1)c2cccnc2)C(C)(C)C)C(=O)CNS(=O)(=O)c3ccccn3,0.6,CCCC[C@H](NC(=O)O[C@H](Cc1ccccc1)c2ccccc2)C(=O)N(CC#N)CC(C)C(F)(F)F,0.2571428571428571,0.4891304347826087,0.3460431654676259
CCCCC(=O)Nc1ccc(Cl)c(Cl)c1,0.4,CCCCCOC(=O)c1ccc(Cl)c(Cl)c1,0.4318181818181818,0.475,0.21135029354207435
CCOP(N)(=O)ON=C(C#N)c1ccccc1,0.2,Nc1ccc(S(=O)(=O)C(C)(C)C)cc1,0.11538461538461539,0.2631578947368421,0.09983633387888707
CCOP(N)(=O)ON=C(C#N)c1ccccc1,0.4,CCOc1ccc(S(=O)(=O)N(C)C)cc1,0.16666666666666666,0.36507936507936506,0.1111111111111111
CCOP(N)(=O)ON=C(C#N)c1ccccc1,0.6,Nc1ccccc1N(CS(=O)(=O)C=C)N,0.13559322033898305,0.3333333333333333,0.1154970760233918
CNC(=O)c1ccc(cc1)C(=O)NO,1.2,CNC(=O)c1ccc(-c2ncc(CCCCCCNC(=O)NO)s2)cc1,0.3673469387755102,0.4827586206896552,0.24087591240875914
C1CCNCC1,1.2,CN1CCCCCCC1,0.17647058823529413,0.45161290322580644,0.46875
Cc1cccc(C)c1C(N)=O,0.2,Cc1cccc(C(C)CO)c1,0.22857142857142856,0.25,0.20408163265306123
Cc1cccc(C)c1C(N)=O,0.4,Cc1cccc(C)nc(N)n1,0.1388888888888889,0.25806451612903225,0.0498812351543943
Cc1cccc(C)c1C(N)=O,1.2,COc1cc(C)nc(C)n1,0.11428571428571428,0.3235294117647059,0.08254716981132075
NS(=O)(=O)Nc1nnc(s1)C(F)(F)F,0.2,NS(=O)(=O)c1ccc(OCC#N)cc1N,0.11320754716981132,0.4857142857142857,0.11533052039381153
NS(=O)(=O)Nc1nnc(s1)C(F)(F)F,1.2,OP(=O)(CCCSc1cccnc1)c1ccc(SC(C)C)cc1Cl,0.04054054054054054,0.2465753424657534,0.1412133891213389
O=C(Cc1ccccc1)Nc1ccc(Br)cc1,0.6,O=C(c1ccc(F)cc1)c1ccccc1O,0.17777777777777778,0.2857142857142857,0.13584905660377358
O=C(Cc1ccccc1)Nc1ccc(Br)cc1,0.8,O=C(c1ccccc1)c1ccc(F)cc1,0.23076923076923078,0.38461538461538464,0.14558472553699284
CCCc1nc(NCC)nc(N2CCCCC2)n1,0.6,CCCc1nc(CO)nc(n1)c2occc2,0.25,0.4716981132075472,0.19890260631001372
COc1c2oc(=O)c(C)cc2cc2c(C)c(C)oc12,0.2,CS(=O)(=O)c1cc(C)c(C#N)c(n1)C(F)(F)Cl,0.13114754098360656,0.1875,0.27769347496206376
CCN(CC)CCNC(=O)c1ccc(N)cc1OC,0.8,CCN(CC)S(=O)(=O)Nc1cccc(N)c1,0.32075471698113206,0.3611111111111111,0.15373352855051245
C[C@@H]1CCCN1CCc2ccc(cc2)c3ccc(cc3)S(=O)(=O)N4CCCCC4,0.4,C[C@@H]1CN(c2ccc(Cl)cc2)c3ccc(Cl)cc3[C@H]1O,0.11764705882352941,0.2972972972972973,0.21114106019766396
C[C@@H]1CCCN1CCc2ccc(cc2)c3ccc(cc3)S(=O)(=O)N4CCCCC4,1.0,C[C@@H]1OC(C1)(c2ccc(C2)S(=O)(=O)c3cccs3)c4ccccc4,0.12987012987012986,0.44285714285714284,0.251846877098724
CC(=O)Oc1ccccc1I,0.2,CC(=O)c1ccccc1,0.3448275862068966,0.35,0.10344827586206896
CC(=O)Oc1ccccc1I,0.4,CC(=O)Nc1ccccc1,0.3125,0.20689655172413793,0.10631229235880399
CC(=O)Oc1ccccc1I,0.8,CC(=O)c1cccnc1,0.25,0.2692307692307692,0.10198300283286119
COc1ccc(OCCCC(=O)O)cc1Cc2cnc3nc(N)nc(N)c3c2C,0.4,COc1ccc(S(=O)(=O)NC2CCCCC2)cc1C(N)=C(N),0.1927710843373494,0.3563218390804598,0.3198757763975155
COc1ccc(OCCCC(=O)O)cc1Cc2cnc3nc(N)nc(N)c3c2C,0.6,COc1ccc(S(=O)(=O)C2)cc1C(N)=C(N2CCOCC2)O2,0.1744186046511628,0.3541666666666667,0.3811118553248493
OC(=O)\C=C\c1ccc(O)cc1,1.0,OC(=O)C\C=Nc1ccc(Cl)cc1C,0.17777777777777778,0.2571428571428571,0.17326732673267325
CC(C)CS(=O)(=O)C[C@H](NC(=O)c1ccccc1)C(=O)NCC#N,0.2,CC(C)S(=O)(=O)C[C@H]1O[C@H](CO[C@H]1O)n2cnc3c(Br)ncnc23,0.12048192771084337,0.4606741573033708,0.26018099547511314
CC(C)CS(=O)(=O)C[C@H](NC(=O)c1ccccc1)C(=O)NCC#N,1.2,CC(C)NC(=O)NC1=C(C(=O)NC(=O)NC1CN=C)C(=O),0.13157894736842105,0.38666666666666666,0.23479887745556596
COc1cnc(cn1)c2c(F)ccc(F)c2CCNC(=O)c3ccc(COCC(F)(F)F)nc3,0.4,CN1CCC(COCc2cc(F)ccc12)c3ccc(cc3)S(=O)(=O)N(F)C#N,0.07476635514018691,0.4090909090909091,0.3440213760855043
CCOC(=O)C(=Cc1ccc(Cl)cc1)NC=O,0.4,CCOC(=O)C(=Cc1cccc(Br)c1)S(=O)(=O),0.3584905660377358,0.4583333333333333,0.32996632996632996
CCOC(=O)C(=Cc1ccc(Cl)cc1)NC=O,1.0,CCOC(=O)\C=Cc1ccc(O)cc1O,0.2641509433962264,0.38095238095238093,0.3879668049792531
CC(C)Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,0.2,CC(C)c1cc(Cl)c1C(C)=O,0.0967741935483871,0.1,0.13719512195121952
CC(C)Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,0.6,CC(C)c1nc(Cl)cc(C)c1C,0.0967741935483871,0.19696969696969696,0.1843283582089552
CCCc1ccc(O)c(c1)c2ccc(O)c(CCC)c2,0.2,Brc1cc(Cl)c(NC2=NCCN2)c(Cl)c1Cl,0.05,0.17857142857142858,0.15744157441574416
NCC1(CCCCC1)c2cccc3ccccc23,0.2,OCCOc1nc(N)n1,0.08888888888888889,0.18181818181818182,0.049019607843137254
NCC1(CCCCC1)c2cccc3ccccc23,0.4,OCCc1nc(N)n1,0.06976744186046512,0.22916666666666666,0.06391752577319587
NCC1(CCCCC1)c2cccc3ccccc23,0.6,Nc1nc2cc(CCC)ccc12,0.09803921568627451,0.2926829268292683,0.20209580838323354
NCC1(CCCCC1)c2cccc3ccccc23,0.8,OCC1OC(CCCl)=CCCCC1,0.09090909090909091,0.28205128205128205,0.09830508474576272
CN1CC(C(=O)O)CC1=O,0.6,CC1CCC(C(=O)COC(=O)c2ccccc2)CC1,0.19148936170212766,0.28,0.12290502793296089
