input_smiles,temperature,generated_smiles,morgan_similarity,maccs_similarity,topo_similarity
O=C(O)CCc1cc(=O)c2cc3c(cc2o1)CCCC3,0.6,O=C(O)CCCN1C(=O)c2cncc(n2)c3ccccc3N1,0.16176470588235295,0.41935483870967744,0.274323335771763
NC(=S)NN=Cc1cccc(O)c1,0.8,NC(=O)OC1=NCC(O)CC1,0.09615384615384616,0.3157894736842105,0.058695652173913045
c1cncc(CCN2CCCC2)c1,0.2,c1cncc(CO)c1,0.45454545454545453,0.30303030303030304,0.2972972972972973
c1cncc(CCN2CCCC2)c1,0.4,c1cncc(OCc2ccccc2)c1,0.35,0.2631578947368421,0.13959390862944163
c1cncc(CCN2CCCC2)c1,0.6,c1cncc(C2CCCCC2)c1,0.3333333333333333,0.41379310344827586,0.3333333333333333
c1cncc(CCN2CCCC2)c1,0.8,c1cncc(CO)c1,0.45454545454545453,0.30303030303030304,0.2972972972972973
c1cncc(CCN2CCCC2)c1,1.0,c1cncc(OCCI)c1,0.2926829268292683,0.3333333333333333,0.13450292397660818
c1cncc(CCN2CCCC2)c1,1.2,c1cncc(OCCc2cccs2)c1,0.2765957446808511,0.36585365853658536,0.15765765765765766
N#Cc1cccnc1,0.8,N#Cc1ccco1,0.26666666666666666,0.29411764705882354,0.16071428571428573
CCCCC(NOCc1ccc(Cl)cc1)C(=O)NO,0.2,CCCCC(N1CCCC1)(c1ccc(Cl)cc1)C(=O)c1ccccc1,0.2786885245901639,0.3333333333333333,0.20208728652751423
CCCCC(NOCc1ccc(Cl)cc1)C(=O)NO,0.4,CCCCC(N1CCCC1c2ccc(Cl)cc2)(C)O,0.23809523809523808,0.42028985507246375,0.20774193548387096
CCCCC(NOCc1ccc(Cl)cc1)C(=O)NO,0.6,CCCCC(Sc1ccc(Cl)cc1)C(=O)c1ccccc1,0.35714285714285715,0.2711864406779661,0.19627507163323782
C[C@@H]1CC[C@H](NC(=O)[C@H](CC(C)(C)C)NC(=O)c2occc2)C(=O)CN1S(=O)(=O)c3ccccn3,0.6,C[C@@H]1CC[C@H](NC(=O)[C@H](CC(C)(C)C)NC1=O)C(=O)NO,0.16483516483516483,0.48863636363636365,0.3174872665534805
