true_monomer1,true_monomer2,pred_monomer1,pred_monomer2,tanimoto_avg,complexity_ratio
C=CC(=O)OC(C)(C)C,C=C(C)C(=O)OCCOCCOCCOCCOCCOC(=O)C(C)=O,CC,SCCC,0.060798548094373864,0.14705882352941177
CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6,CCc1cc(C)c(N)c(CC)c1N,CCF,SCCC,0.08055555555555555,0.08759124087591241
CC(C/C=C\CC(=O)OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)C(=O)OCC(O)COc6ccc(C(C)(C)c5ccc(OCC4CO4)cc5)cc6,NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN,F,Cl,0.0,0.009433962264150943
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,CC,Cl,0.020833333333333332,0.037037037037037035
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,O=c1n(CCS)c(=O)n(CCS)c(=O)n1CCS,CCl,Cl,0.022727272727272728,0.030534351145038167
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,CC,Cl,0.023809523809523808,0.024691358024691357
CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CCCCCCCCCN,CCCCCCC,C,0.029411764705882353,0.175
C=CCOCC(CO)(COCC=C)COCC=C,C=Cc1cccc(C=C)c1,CCCCC,C,0.019230769230769232,0.17543859649122806
Nc2ccc(Oc1ccc(N)cc1)cc2,CCCCCCCCCN,CCCCCCC,C,0.0,0.25925925925925924
Nc2ccc(Oc1ccc(N)cc1)cc2,NCCCOCCOCCCN,CCCC,C,0.0,0.13793103448275862
c2cc(OCC1CO1)ccc2Cc4ccc(OCC3CO3)cc4,NCCCOCCOCCCN,CCCCCC,CC,0.016129032258064516,0.175
CC(C)(c2ccc(OCCOCC1CO1)cc2)c4ccc(OCCOCC3CO3)cc4,NCCOCCOCCN,CCCCCC,C,0.02631578947368421,0.13043478260869565
C=Cc1ccccc1,C=CC(=O)OC(C)(C)C,CCCC,C,0.0,0.22857142857142856
C=CCOC(CC)(CO)CO,C=Cc1cccc(C=C)c1,CCCCOCCCC,CC,0.06666666666666667,0.46511627906976744
CC(C)(c2ccc(OC1CO1)cc2)c4ccc(OC3CO3)cc4,NCCCOCCOCCCN,CCCCCC,C,0.016129032258064516,0.15
CC(C)(c2ccc(OCCOCC1CO1)cc2)c4ccc(OCCOCC3CO3)cc4,CC(N)COCC(C)OCC(C)OCC(C)N,CCCCCCCC,C,0.02564102564102564,0.1509433962264151
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O,C=CC(=O)OCCCC,CCCCCCCCC,CC,0.05622188905547226,0.23255813953488372
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=COC(=O)CCCCCC(C)(C)C,CCCCCCCC,CC,0.05631868131868132,0.1875
C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2,C=C(C)C(=O)OCCCC,CCCC(C)CCC,C,0.03333333333333333,0.16326530612244897
C=C(C)C(=O)OCCOCCOCCOCCOCCOC(=O)C(C)=O,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,CCCCCC,C,0.03571428571428571,0.12244897959183673
C=Cc1ccccc1,C=CC(=O)OCCCC,CCCCCCCC,CCC,0.06521739130434782,0.5714285714285714
C=C(C)C(=C)OCOCCOC(=O)C(=C)C,C=CCOCC(CO)(COCC=C)COCC=C,CCCCCC,C,0.03225806451612903,0.18181818181818182
CC(C)(c2ccc(OCCOCCOCCOC1CO1)cc2)c4ccc(OCCOCCOCCC3CO3)cc4,CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,C(=CC)CCCC,CCC,0.06432246998284734,0.12162162162162163
C=CCOC(CC)(CO)CO,C=CCOCC(CO)(COCC=C)COCC=C,CCCCCCC,C,0.05555555555555555,0.25
CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,CCCCC,CCC,0.07575757575757576,0.11864406779661017
CC(COc3ccc(C(C)(C)c2ccc(OCC(C)OCC1CO1)cc2)cc3)OCC4CO4,CC(N)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)N,CCCCCCCCCCCCCCCC,CCCCCCCC,0.06926406926406926,0.3194444444444444
CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6,CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,CCCCC,CCCCCC,0.06439024390243903,0.12048192771084337
C=CCc1ccccc1OCC(O)COC(=O)Cc3ccc(C(=O)OCC(O)COc2ccccc2CC=C)cc3,C=CCOCC(COCC=C)(COCC=C)COC(=O)NCC1(C)CC(NC(=O)OCC(COCC=C)(COCC=C)COCC=C)CC(C)(C)C1,CCCCCCCCCCCCC,CCCCCCCCC,0.028127183787561145,0.21428571428571427
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,CCCCCCC,CCCCC,0.09203296703296704,0.1896551724137931
C=C(C)C(=O)OCCOCCOCCOCCOCCOC(=O)C(C)=O,CCCC(=O)OCC(CC)(COC(=O)CCS)COC(=O)CCS,CCCCCCCCC,CCCCCCCC,0.09899888765294772,0.32653061224489793
