true_monomer1,true_monomer2,pred_monomer1,pred_monomer2,tanimoto_avg,complexity_ratio
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O,C=CC(=O)OCCCC,C=C(C)C(=O)NCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O,C=CC(=O)OCCCCCCS,0.6019269776876268,0.8571428571428571
C=C(C)C(=O)OC,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)C,C=C(C)C(=O)NCCNCCC(=O)C(=C)C,0.3741830065359477,0.8076923076923077
C=C(C)C(=O)OC,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)C,C=C(C)C(=O)NCCNCCC(=O)C(=C)C,0.3741830065359477,0.8076923076923077
C=C(C)C(=O)OC,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)C,C=C(C)C(=O)NCCNCCC(=O)C(=C)C,0.3741830065359477,0.8076923076923077
C=C(C)C(=O)OC,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)C,C=C(C)C(=O)NCCNCCC(=O)C(=C)C,0.3741830065359477,0.8076923076923077
C=C(C)C(=O)OC,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCOCCCN,C=C(C)C(=O)CCOCCOCCOCCOCCOCCOC(=O)C(=C)C,0.5620347394540943,1.5
C=C(C)C(=O)OC,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)C,C=C(C)C(=O)NCCNCCC(=O)C(=C)C,0.3741830065359477,0.8076923076923077
C=C(C)C(=O)OC,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)C,C=C(C)C(=O)NCCNCCC(=O)C(=C)C,0.3741830065359477,0.8076923076923077
C=C(C)C(=O)OC,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)NC,C=C(C)C(=O)NCCNCCC(=O)C(=C)C,0.35317460317460314,0.8461538461538461
C=C(C)C(=O)OC,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)C,C=C(C)C(=O)NCCCCOCCOC(=O)C(=C)C,0.5578747628083491,0.9230769230769231
C=C(C)C(=O)OC,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)C,C=C(C)C(=O)NCCNCCC(=O)C(=C)C,0.3741830065359477,0.8076923076923077
C=C(C)C(=O)OC,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCCSC,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)OC,0.5742705570291777,1.1923076923076923
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OC,C=C(C)C(=O)NCCCCOCCOCCOCCOCOCCCCOC(=O)C(=C)C,C=C(C)C(=O)NC,0.5,0.926829268292683
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OC,C=C(C)C(=O)NCCCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)NC,0.5368663594470046,0.975609756097561
