true_monomer1,true_monomer2,pred_monomer1,pred_monomer2,tanimoto_avg,complexity_ratio
C=C(C)C(=O)OCCCC,C=CCOC(CC)(CO)CO,C=C(C)C(=O)CCOCCOCCOCCO,C(N)(CCOCCOCCOCCOO)CCOCCOCCOCCO,0.20592334494773518,2.15
C=C(C)C(=O)OCCCC,C=C(C)C(=O)OC,C=C(C)C(=O)CCOCCOCCOCCO,C=C(C)C(=O)OO,0.44661654135338347,1.4375
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=CC(=O)OCCCC,C=C(C)C(=O)CCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=COC(=O)CCOCCOCCOCCO,0.4755639097744361,1.186046511627907
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=CCOC(CC)(CO)CO,C=C(C)C(=O)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(CCCOCCOCCOCCOO)O,0.4358974358974359,1.3777777777777778
C=CC(=O)OCCCC,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,C=CC(=O)CCOCCOCCOCCO,C(COC(=O)CCSCOCCOC(=O)CCS)COC(=O)CCS,0.33035714285714285,1.25
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=CCOC(CC)(CO)CO,C=C(C)C(=O)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(CCCOCCOCCOCCOO)CCOCCOCCOCCO,0.44275491949910556,1.6222222222222222
C=C(C)C(=O)OC,C=Cc1cccc(C=C)c1,C=C(C)C(=O)OCCOCCOCCOCCOCCO,C=C(C=C)CCOCCOCCOCCO,0.24054621848739496,2.057142857142857
C=C(C)C(=O)OCCCC,C=COC(=O)CCCCCC(C)(C)C,C=C(C)C(=O)CCOCCOCCOCCO,C(COC(=O)C)C(C)N,0.22857142857142856,1.0869565217391304
C=C(C)C(=O)OC,C=Cc1cccc(C=C)c1,C=C(C)C(=O)OCCO,C=C(C=C)CCOCCOCCOCCO,0.27328431372549017,1.3714285714285714
C=C(C)C(=O)OCCCC,C=C(C)C(=O)OC,C=C(C)C(=O)CCOCCOCCOCCO,C=C(C)C(=O)O,0.37936507936507935,1.375
C=C(C)C(=O)OC,C=Cc1cccc(C=C)c1,C=C(C)C(=O)OCCO,C=C(C=C)CCOCCOCCOCCO,0.27328431372549017,1.3714285714285714
C=C(C)C(=O)OCCCC,C=C(C)C(=O)OC,C=C(C)C(=O)OCCO,C=C(C)C(=O)COCC,0.4807692307692308,1.0625
C=CC(=O)OCCCC,C=COC(=O)CCCCCC(C)(C)C,C=CC(=O)CCOCCOCCOCCO,C=CCOC(=O)C(C)(C)C,0.30952380952380953,1.1363636363636365
C=C(C)C(=O)OCCCC,C=C(C)C(=O)OC,C=C(C)C(=O)CCOCCOCCOCCO,C=C(C)C(=O)N,0.3676691729323308,1.375
C=CC(=O)OCCCC,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,C=CCOC(=O)CCOCCOCCOCCO,CCCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,0.4902740937223696,1.3125
C=C(C)C(=O)OCCCC,CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O,C=C(C)C(=O)CCOCCOCCOCCO,CC(N)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=N,0.37142857142857144,1.3125
C=C(C)C(=O)OCCCC,C=C(C)C(=O)OC,C=C(C)C(=O)CCOCCOCCOCCO,C=C(C)C(=O)O,0.37936507936507935,1.375
C=C(C)C(=O)OCCCC,C=C(C)C(=O)OC,C=C(C)C(=O)CCOCCOCCOCCO,C=C(C)C(=O)COCC,0.3302197802197802,1.5625
C=CC(=O)OC(C)(C)C,C=C(C)C(=O)OC,C=CC(=O)OCC(C)(C)C,C=C(C)C(=O)COCC,0.4230769230769231,1.2
C=CC(=O)OC(C)(C)C,C=C(C)C(=O)OC,C=CC(=O)OCC(C)(C)C,COCC=C(C)C(=O)O,0.375,1.2
C=CC(=O)OC(C)(C)C,C=CCOCC(CO)(COCC=C)COCC=C,C=COC(=O)OCC(C)(C)C,C=CCOCC(COCC)(COCC=C)COCC=C,0.44975186104218356,1.1538461538461537
