true_monomer1,true_monomer2,pred_monomer1,pred_monomer2,tanimoto_avg,complexity_ratio
C=C(C)C(=O)OCCCC,C=C(C)C(=O)OCCOCCOCCOCCOCCOC(=O)C(C)=O,C=C(C)C(=O)O,C=C(C(C(=O)CCOCCOCCOCCOCCOCCOCCOCCOC(=O)C)OCC)O,0.3385714285714286,1.1714285714285715
C=C(C)C(=O)OCCCC,C=C(C)C(=O)OC,C=C(C)C(=O)CCOCCOCCOCCO,C=C(C)CC(=O)C,0.3476190476190476,1.4375
C=C(C)C(=O)OCCCC,C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O,C=C(C)C(=O)OCCOCCOCCOCCOCCO,CCCC=CCOC(=O)COCC(C(=C)CCO)C(COC)COO,0.3,1.5789473684210527
C=C(C)C(=O)OC,C=C(C)C(=O)OCCOCCOCCOCCOCCOC(=O)C(C)=O,C=C(C)C(=O)OCCO,C=C(C)C(=O)CCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)O,0.45138888888888884,1.3125
C=C(C)C(=O)OCCCC,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,C=C(C)C(=O)CCOCCOCCOCCO,CC(COC(=O)CCSCOCCOC(=O)CCS)COC(=O)CCS,0.3431893687707641,1.2727272727272727
C=C(C)C(=O)OC,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCO,C=C(C)C(=O)CCOCCOCCOCCOOCCC(=O)C(=C)C,0.4625,1.2692307692307692
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O,C=C(C)C(=O)OC,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)O,C=C(C)COCC(=O)C,0.4933333333333333,1.0294117647058822
C=C(C)C(=O)OCCCC,C=C(C)C(=O)OC,C=C(C)C(=O)OCCO,C=C(C)COCC(=O)C,0.46769230769230774,1.0625
C=C(C)C(=O)OC,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCO,C=C(C)C(=O)CCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)CCCOCCOCCOCCO,0.47240990990990994,2.076923076923077
C=C(C)C(=O)OCCCC,C=C(C)C(=O)OC,C=C(C)C(=O)OCCOCCOCCOCCOCCO,C=C(C)COCC(=O)C,0.42666666666666664,1.8125
C=C(C)C(=O)OC,C=C(C)C(=O)OCCOCCOCCOCCOCCOC(=O)C(C)=O,C=C(C)C(=O)OCCO,C=C(C)C(=O)CCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)O,0.45138888888888884,1.3125
C=CC(=O)OCCCC,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=CC(=O)CCOCCOCCOCCO,C=C(C)C(=O)CCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,0.5,1.0869565217391304
C=C(C)C(=O)OC,C=C(C)C(=O)OCCOCCOCCOCCOCCOC(=O)C(C)=O,C=C(C)C(=O)OCCO,C=C(C)C(=O)CCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)O,0.45138888888888884,1.3125
C=CC(=O)OCCCC,C=CCOCC(CO)(COCC=C)COCC=C,C=CC(=O)CCOCCOCCOCCOCCOCCOCCOCCO,C=CCOCC(OCCO)(COCC=C)COCCOC,0.35119047619047616,1.8461538461538463
C=C(C)C(=O)OC,C=COC(=O)CCCCCC(C)(C)C,C=C(C)C(=O)OCCO,C=COC(=O)OCC(OCC)(C)C,0.39989837398373984,1.05
