true_monomer1,true_monomer2,pred_monomer1,pred_monomer2,tanimoto_avg,complexity_ratio
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O,C=COC(=O)CCCCCC(C)(C)C,C=C(C)C(=O)OCCOCCOCCOC(=O)C(C)O,C=CCOC(=O)OCC(COC)C,0.4444444444444444,0.4266666666666667
C=CC(=O)OCCCC,C=COC(=O)CCCCCC(C)(C)C,C=CC(=O)O,C=CC(=O)CC(COC)C,0.24714285714285716,0.6363636363636364
C=CC(=O)OC(C)(C)C,C=CC(=O)OCCCC,C=CC(=O)C(COC)C,C=CCOC(=O)COCC,0.30230414746543777,1.0588235294117647
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)CCOCCOCCOCCOCCOCCOCCOCCOOCCOCCC(=O)C(C),C=C(C)C(=O)COCOCCCCOCCOCCOCCOC(=O)C(=C)C,0.4967105263157895,0.6666666666666666
C=CC(=O)OC(C)(C)C,C=C(C)C(=O)OCCCC,C=CC(=O)OCC(COC)CO,C=C(C)C(=O)OCC,0.46176470588235297,1.0555555555555556
C=C(C)C(=O)OC,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)CC,C=C(C)C(=O)CCSCOCCCCOCCOCCOCCOC(=O)C(=C)C,0.4595959595959596,0.7954545454545454
C=C(C)C(=O)OCCCC,C=C(C)C(=O)OC,C=C(C)C(=O)CCOCCOCCOCCO,C=C(C)C(=O)OCC,0.40714285714285714,1.5
C=CC(=O)OCCCC,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,C=CC(=O)CCOCCOCCOCCO,C=C(C)C(=O)COCCCOCCOCCOCCOC(=O)C(=C)C,0.4876847290640394,1.4285714285714286
C=CC(=O)OCCCC,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=CC(=O)CCOCCOCCOCCO,C=C(C)C(=O)COCCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,0.4876847290640394,1.1304347826086956
C=C(C)C(=O)OC,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)C,C=C(C)C(=O)CCSOCCC(=O)C(=C)C,0.3970588235294118,0.8076923076923077
C=C(C)C(=O)OCCCC,CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O,C=C(C)C(=O)CCOCCOCCOCCO,CC(=O)OCCCOCCCCCOC(=O)C(C)O,0.3630252100840336,0.7291666666666666
