true_monomer1,true_monomer2,pred_monomer1,pred_monomer2,tanimoto_avg,complexity_ratio
C=C(C)C(=O)OCCCC,C=C(C)C(=O)OCCOCCOCCOCCOCCOC(=O)C(C)=O,C=C(C)C(=O)O,C=C(C(C(=O)CCOCCOCCOCCOCCOCCOCCOCCOC(=O)C)OCC)O,0.3385714285714286,1.1714285714285715
C=C(C)C(=O)OCCCC,C=C(C)C(=O)OC,C=C(C)C(=O)CCOCCOCCOCCO,C=C(C)CC(=O)C,0.3476190476190476,1.4375
C=C(C)C(=O)OCCCC,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)CCOCCOCCOCCO,C=C(C)C(=O)CCSCCOCCOCCOCCOCCSCCOCCOCCOCCOCCSCCOC(=O)C(=C)C,0.44502164502164504,0.775
C=C(C)C(=O)OCCCC,C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O,C=C(C)C(=O)OCCOCCOCCOCCOCCO,CCCC=CCOC(=O)COCC(C(=C)CCO)C(COC)COO,0.3,1.5789473684210527
C=C(C)C(=O)OC,C=C(C)C(=O)OCCOCCOCCOCCOCCOC(=O)C(C)=O,C=C(C)C(=O)OCCO,C=C(C)C(=O)CCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)O,0.45138888888888884,1.3125
C=C(C)C(=O)OCCCC,C=CCOC(CC)(CO)CO,C=C(C)C(=O)OCCO,C=COCCCOCC(=CCOCCOCCOCCOCCOCCOCCOCCO)COCC,0.4097331240188383,2.25
C=C(C)C(=O)OCCCC,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,C=C(C)C(=O)CCOCCOCCOCCO,CC(COC(=O)CCSCOCCOC(=O)CCS)COC(=O)CCS,0.3431893687707641,1.2727272727272727
C=C(C)C(=O)OC,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCO,C=C(C)C(=O)CCOCCOCCOCCOOCCC(=O)C(=C)C,0.4625,1.2692307692307692
C=C(C)C(=O)OCCCC,C=C(C)C(=O)OC,C=C(C)C(=O)OCCO,C=C(C)CC(=O)C,0.4981684981684982,0.9375
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O,C=C(C)C(=O)OC,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)O,C=C(C)COCC(=O)C,0.4933333333333333,1.0294117647058822
C=C(C)C(=O)OCCCC,C=C(C)C(=O)OC,C=C(C)C(=O)OCCO,C=C(C)OCC(=O)C,0.47435897435897434,1.0
C=C(C)C(=O)OC,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCO,C=C(C)C(=O)COCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=CCOCCOCCOCCO)C(=C)C,0.4152131782945736,1.1764705882352942
C=Cc1cccc(C=C)c1,CCCC(=O)OCC(CC)(COC(=O)CCS)COC(=O)CCS,C=CC(C)(C)OCC,CCC(=O)OCC(OCC)(COC(=O)CCS)COC(=O)CCS,0.3084808946877912,0.8985507246376812
C=C(C)C(=O)OCCCC,C=C(C)C(=O)OC,C=C(C)C(=O)OCCO,C=C(C)COCC(=O)C,0.46769230769230774,1.0625
